id,sentence,target
7530,"  with recent tensions by the trial and the trial of members and william harris , not to mention 11 , its difficult these days to appreciate fire 's bright side",-
7531,"  a vivid , thoughtful , raw coming of age tale full of sex , drugs and rock 'n ' roll",+
7532,  although this idea is new the results are tired,-
7533,  an enjoyable experience,+
7534,"  this movie is meant to make you think about existential suffering instead , it 'll only put you to sleep",-
7535,  succeeds as a well made of a subculture,+
7536,  is more timely now than ever,+
7537,"  makes one thing clear american musical comedy as we know it would n't exist without the of yiddish theater , whose jolly , fun for fun 's sake communal spirit goes to the essence of broadway",+
7538,"  unlike lots of hollywood fluff , this has layered , well developed characters and some surprises",+
7539,  resourceful and ingenious entertainment,+
7540,  an extremely unpleasant film,-
7541,"  i am not generally a huge fan of cartoons derived from tv shows , but hey arnold ! the movie is clever , offbeat and even gritty enough to overcome my",+
7542,"  rarely gets beneath the surface of things she ingredients , but never mixes and",-
7543,"  for all its plot twists , and some of them on the bizarre as the film winds down , blood work is a strong , character oriented piece",+
7544,  while much of the cast has charm especially and the performers are sunk by the film 's primitive approach to the mechanics of comedy,-
7545,"  human nature is a goofball movie , in the way that malkovich was , but it tries too hard",-
7546,"  the old world meets new is in the movie 's soundtrack , a joyful of bollywood that , by the end of monsoon wedding , my spirit out of the theater",+
7547,  it 's a bittersweet and lyrical mix of elements,+
7548,"  told in scattered fashion , the movie only intermittently lives up to the stories and faces and music of the men who are its subject",-
7549,"  a taut , intelligent psychological drama",+
7550,  this is a film that manages to find greatness in the of its,+
7551,"  even if it is generally amusing from time to time , i spy has all the same problems the majority of action comedies have",-
7552,"  the vintage is pure , with a twist on its cautionary message fatal attraction do n't have an affair with a unfaithful do n't if you 're married to one",-
7553,  unbearably lame,-
7554,  the performances are uniformly good,+
7555,"  gives the scenery , and all the cinematic equivalent of a big , tender",+
7556,"  nicks refuses to let slackers be seen as just another teen movie , which means he can be for frequently pandering to fans of the gross out comedy",-
7557,  romantic comedy has a few nice twists in a standard plot and the charisma of hugh grant and sandra bullock,+
7558,"  maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well crafted and this one is",+
7559,  a wild ride of a movie that keeps throwing,+
7560,  star producer salma hayek and director taymor have frida with a visual style unique and inherent to the titular character 's paintings and in the process created a masterful work of art of their own,+
7561,"  though the opera itself takes place mostly , jacquot seems of how to evoke any sort of naturalism on the set",-
7562,"  complex , plotted and , somehow , off cold",-
7563,  largely a for fans,-
7564,"  a film of empty , violence in which murder is casual and fun",-
7565,  a glib but bouncy bit of style in which the hero might wind up caught but the audience gets pure escapism,+
7566,"  celebrated at sundance , this slight comedy of manners has winning performances and a glossy , glib charm that 's hard to beat",+
7567,  an awkwardly contrived exercise in magic realism,-
7568,"  , the way this all works out makes the women look more like stereotypical and moral , instead of serious athletes",-
7569,  a comic gem with some serious sparkles,+
7570,"  everything about the quiet american is good , except its timing",+
7571,"  beautifully crafted , engaging filmmaking that should attract audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing",+
7572,"  witty , touching and well paced",+
7573,"  there are a couple of things that elevate glory above most of its , most the mere presence of duvall",+
7574,"  beneath the film 's obvious determination to shock at any cost lies considerable skill and determination , by sheer nerve",+
7575,"  much of the footage appears , as if filmed directly from a television , while the use of stock footage quickly becomes a tiresome clich",-
7576,  the latest vapid actor 's exercise to appropriate the structure of schnitzler 's,-
7577,  the film does n't show enough of the creative process or even of what was created for the non fan to figure out what makes wilco a big deal,-
7578,"  offers much to enjoy and a lot to mull over in terms of love , loyalty and the nature of staying friends",+
7579,"  iwai 's all about lily chou chou is a beautifully shot , but ultimately flawed film about growing up in japan",-
7580,"  a mess , but it 's a sincere mess",+
7581,  a great idea becomes a not great movie,-
7582,"  a mild , reluctant , thumbs down",-
7583,"  windtalkers is , the kind of movie that you to pick apart its faults even as you have to admit that somehow it hit you where you live",+
7584,"  though her fans will have their funny bones , others will find their humor seeking best spent elsewhere",-
7585,"  for every cheesy scene , though , there is a really cool bit the movie 's conception of a future world ( jones ) who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized",+
7586,"  the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public , to avoid being as the man who moviegoers",-
7587,  it makes me feel weird thinking about all the bad things in the world like with broken and that die and movies starring pop queens,-
7588,  silly,-
7589,  an overstuffed compendium of teen catholic movie dogma,-
7590,"  velocity represents everything wrong with ` as a , out concept on the american filmmaking scene",-
7591,  an ugly tale so and clumsily told it feels,-
7592,  's impact by showing the humanity of a war torn land filled with people who just want to live their lives,+
7593,"  a naturally funny film , home movie makes you chris smith 's next movie",+
7594,"  the , ship makes a fine , but the ghosts ' haunting is routine",-
7595,  the film is flat,-
7596,"  it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot",+
7597,  evokes a little of the fear that parents have for the possible of their children and the sometimes bad choices mothers and fathers make in the of doing them good,+
7598,"  though a touch too arthouse 101 in its poetic , heaven proves to be a good match of the sensibilities of two directors",+
7599,  a bland murder on campus,-
7600,  at conception by its by the vehicle to the star,-
7601,  the kind of sweet and sour insider movie that film buffs will eat up like so much,+
7602,  this overproduced and generally disappointing effort is n't likely to the rush hour crowd,-
7603,"  the directing and story are disjointed , flaws that have to be laid squarely on taylor 's doorstep but the actors make this worth a peek",+
7604,  george lucas returns as a with a tale full of nuance and character dimension,+
7605,  that frenetic spectacle on the tv show has usually been leavened by a charm that 's missing from the girls ' big screen,-
7606,"  while we want macdowell 's character to her husband , we have to ask whether her personal odyssey the carnage that claims so many lives around her",-
7607,  the reason to see sade lay with the chemistry and complex relationship between the marquis ( ) and ( le ),+
7608,"  bisset delivers a game performance , but she is unable to save the movie",-
7609,"  all in all , it 's a pretty good execution of a story that 's a lot richer than the ones hollywood action screenwriters usually come up with on their own",+
7610,  and exquisite trappings are by a lackluster script and substandard performances,-
7611,"  apparently kissing leads to suicide attempts and tragic is good , but just a kiss is just a mess",-
7612,"  mostly honest , this somber picture reveals itself slowly , intelligently , artfully",+
7613,"  as hugh grant says repeatedly throughout the movie , ` lovely ! brilliant ! '",+
7614,"  gooding is the energetic , and it 's hard to resist his enthusiasm , even if the filmmakers come up with nothing original in the way of slapstick sequences",+
7615,"  when your subject is illusion versus reality , should n't the reality seem at least real ?",-
7616,"  i admire it and yet can not recommend it , because it its natural running time",-
7617,  there has been much among critics about what the election i believe the message is in the the agent is a woman,+
7618,"  wasabi is slight fare indeed , with the entire project having the feel of something tossed off quickly ( like one of hubert 's ) , but it should go down smoothly enough with popcorn",-
7619,"  hitler , o era e o horror , e max este com , o da",+
7620,"  like life on the island , the movie grows boring despite the scenery",-
7621,  what makes this film special is serry 's ability to take what is essentially a family conflict and put it into a much larger historical context,+
7622,"  it moves quickly , adroitly , and without it does n't give you time to reflect on the and the cold war of its premise",+
7623,"  for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one",-
7624,  bowling for columbine remains a disquieting and thought provoking film,+
7625,"  you really have to salute writer director haneke ( he adapted 's novel ) for making a film that is n't nearly as graphic but much more powerful , brutally shocking and difficult to watch",+
7626,"  from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie",-
7627,  the film runs on equal parts of innocence and wisdom wisdom that comes with experience it has fun being grown up,+
7628,"  it 's a smart , solid , charged spy flick worthy of a couple hours of and a of popcorn nothing overly original , mind you , but solidly entertaining",+
7629,  black and white and,-
7630,  an offbeat romantic comedy with a great meet cute gimmick,+
7631,"  these characters are so well established that the gang feels comfortable with taking insane and doing the stuff out of left field , and i 'm all for that",+
7632,  has a charm a inconsequential diversion,+
7633,"  she 's all powerful , a voice for a pop cyber culture that on her",+
7634,  an afterschool special without the courage of its convictions,-
7635,"  after collateral damage , you might imagine that most every father clich has been but no",-
7636,"  it 's a brave attempt to tap into the of the world , a salute to the universal language of rhythm and a zippy of sounds",+
7637,  exudes the fizz of a musical and the visceral excitement of a sports extravaganza,+
7638,"  where janice falters in its recycled aspects , , and in pace , it rises in its , and comedic",+
7639,"  the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate",-
7640,"  screenwriter chris ver 's directing debut is good natured and never dull , but its virtues are small and easily overshadowed by its predictability",-
7641,"  's quite a bit with spider man , even though it 's one of the most plain white comic book films you 'll ever see",+
7642,"  george , a real director and good writers for the next installment , please",-
7643,  an uneven film dealing with too many problems to be taken seriously,-
7644,"  occasionally interesting but essentially , a footnote to a still story",-
7645,"  adults will wish the movie were less simplistic , obvious , clumsily plotted and characterized but what are adults doing in the theater at all ?",-
7646,  i am more by his lack of faith in his audience than by anything on display here,+
7647,  the story is moldy and obvious,-
7648,"  nothing 's at , just a twisty double cross you can smell a mile away still , the derivative nine queens is lots of fun",+
7649,"  blue crush follows the formula , but throws in too many to keep the story compelling",-
7650,  monte cristo smartly emphasizes the well wrought story and chase scenes and as the revenge unfolds,+
7651,"  parker holds true to wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness",+
7652,  it shows that some firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl on girl action,-
7653,  cremaster 3 should come with the warning for serious film buffs only !,+
7654,  it 's a terrific american sports movie and quaid is its heart,+
7655,"  if is n't the most edgy piece of disney animation to hit the silver screen , then this first film to use a background since certainly ranks as the most original in years",+
7656,  a dream cast of solid female talent who build a ensemble there is n't a weak or performance them,+
7657,  ` what 's the russian word for wow ! ? ',+
7658,"  does n't deliver a great story , nor is the action as gripping as in past seagal films",-
7659,"  there 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash",+
7660,"  if the film fails to fulfill its own ambitious goals , it nonetheless sustains interest during the long build up of material",+
7661,  a dreadful live action movie,-
7662,  yet another southern bore,-
7663,  the perfect film for those who like sick comedies that can be,+
7664,"  has all the of a movie designed strictly for children 's home video , a market so it all manner of lame entertainment , as long as 3 year find it diverting",-
7665,"  working from 's , rohmer the sort of delicate , articulate character and relationship study he 's for decades",+
7666,  jacquot 's tosca is a treat,+
7667,"  britney 's performance can not be 's a dull girl , that 's all",-
7668,"  the power of shanghai ghetto , a documentary by dana mann and mann , rests in the voices of men and women , now in their , who lived there in the 1940s",+
7669,  do n't let your spirit go this far,-
7670,"  the picture uses humor and a heartfelt conviction to tell a story about your destination in life , but also the places , and the people , from you came",+
7671,  el del would likely be most effective if used as a to anti catholic,-
7672,  quite funny for the type of movie it is,+
7673,  and create engaging characterizations in imamura 's lively and enjoyable cultural mix,+
7674,  full frontal is the antidote for soderbergh fans who think he 's gone too commercial since his two oscar nominated films in 2000,+
7675,"  the studio , piccoli is affecting and so is this adroitly minimalist movie",+
7676,"  quitting delivers a sucker punch , and its impact is all the greater director zhang 's last film , the shower , was a non threatening multi character piece centered around a public house",+
7677,  a quietly reflective and melancholy new film about an summer in a 13 year old girl 's life,+
7678,"  speaking , it 's tempting to jump ship in january to avoid ridiculous schlock like this shoddy suspense thriller",-
7679,"  despite all evidence to the , this clunker has somehow managed to as an actual feature movie , the kind that full admission and gets hyped on tv and to amuse small children and adults",-
7680,"  the emperor 's club is one of those films that all the good intentions in the world , but",-
7681,  strictly a ` guy 's film ' in the worst sense of the expression,-
7682,"  red dragon is less and than hannibal , and less emotionally affecting than silence but , like silence , it 's a movie that gets under your skin",+
7683,"  familiar and predictable , and 4 of it might as well have come from a machine rather than ( writer director ) ' word",-
7684,"  while not as aggressively impressive as its american , in the bedroom , 's film makes its own , quieter observations",+
7685,  a film that suffers because of its many excesses,-
7686,  it 's by labored writing and slack direction,-
7687,"  it works well enough , since the thrills pop up frequently , and the of the cast is as often imaginative as it is gory",+
7688,  the characters are never more than which leaves any true emotional connection or frustratingly out of reach,-
7689,"  a hit and miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped",-
7690,"  a home alone film that is staged like 's baby , but is not as well conceived as either of those films",-
7691,  a movie that at its best does n't just make the most out of its characters ' flaws but on the virtue of,+
7692,  there 's a reason the studio did n't offer an advance screening the adventures of pluto nash is a big time stinker,-
7693,  a great cast and a wonderful but sometimes confusing movie about growing up in a dysfunctional family,+
7694,"  the four feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic",-
7695,  a triumph of pure craft and passionate heart,+
7696,"  gooding and are both oscar winners , a fact which , as you watch them clumsily mugging their way through snow dogs , seems",-
7697,  predictably soulless techno tripe,-
7698,  a strong piece of work,+
7699,"  an uplifting , largely bogus story",-
7700,"  to build a feel good fantasy around a vain is off putting , to say the least , not to mention and wildly",-
7701,  rife with cliches and far too much dialogue,-
7702,"  if legendary ed wood had ever made a movie about a vampire , it probably would look a lot like this production , adapted from anne rice 's novel the vampire chronicles",-
7703,"  if divine secrets of the ya ya sisterhood suffers from a melodramatic structure , it comes to life in the performances",+
7704,"  american and european cinema has a vast holocaust , but it is impossible to think of any film more challenging or depressing than the grey zone",+
7705,"  this illuminating documentary transcends our vision of the holy land and its , revealing the human beneath",+
7706,  the only thing that distinguishes a randall wallace film from any other is the fact that there is nothing in a randall wallace film,-
7707,"  the story is naturally poignant , but first time screenwriter paul it with sugary bits of business",-
7708,"  follows the original film virtually scene for scene and yet manages to it almost completely dry of humor , verve and fun",-
7709,  the charms of sandra bullock and hugh grant have worn threadbare,-
7710,"  despite its flaws , secretary stays in your head and makes you question your own firmly held",+
7711,  helps to remind the first world that aids is far from being yesterday 's news,+
7712,  one of the most gloriously and extreme since the evil dead,+
7713,"  resident evil is what comes from taking john carpenter 's ghosts of mars and the in other words , about as bad a film you 're likely to see all year",-
7714,"  take away the controversy , and it 's not much more watchable than a mexican soap opera",-
7715,"  while each moment of this broken character study is rich in emotional texture , the journey does n't really go anywhere",+
7716,"  miyazaki has created such a vibrant , colorful world , it 's almost impossible not to be swept away by the sheer beauty of his images",+
7717,  's too good for this sucker,-
7718,"  it 's another of alexandre dumas ' classic why ? who knows , but it works under the direction of kevin",+
7719,"  it may sound like a mere disease of the week tv movie , but a song for martin is made infinitely more wrenching by the performances of real life seldahl and wollter",+
7720,  somehow manages to escape the of its own clich s to be the best espionage picture to come out in weeks,+
7721,  ` cq may one day be remembered as roman coppola 's brief pretentious period before going on to other films that actually tell a story worth caring about,-
7722,  what 's really so appealing about the characters is their resemblance to everyday children,+
7723,"  at first , the sight of a blind man directing a film is hilarious , but as the film goes on , the joke wears thin",-
7724,  the cartoon is about as true to the spirit of the festival of lights as mr deeds was to that of frank,-
7725,"  in the end , all you can do is admire the ensemble players and wonder what the point of it is",-
7726,"  director o'fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story he also to the screenplay falls short",-
7727,  the film 's welcome and some unbelievably hilarious moments most portraying the idiocy of the film industry make it mostly worth the trip,+
7728,  toward the end sum of all fears into a mundane '70s disaster flick,-
7729,"  while cherish does n't completely survive its tonal transformation from dark comedy to suspense thriller , it 's got just enough charm and appealing character quirks to forgive that still serious problem",+
7730,  the result is something quite fresh and delightful,+
7731,"  all in all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us",+
7732,"  lilia 's transformation from strict mother to sensual is preposterous , but infuses the role with an core of emotional truth",+
7733,"  perceptive , taut , and , and is undeniably subversive and involving in its bold presentation",+
7734,  the second of the harry potter series is even more magical than the first and simply the best family film of the year,+
7735,"  when de palma 's bad , he 's really bad , and femme fatale ranks with the worst he has done",-
7736,  surprisingly insightful,+
7737,  it is one more celluloid to the experienced by southern as through a perspective,-
7738,  a poignant and powerful narrative that reveals that reading writing and are not the only subjects to learn in life,+
7739,"  as surreal as a dream and as detailed as a , as visually as it is at times imaginatively overwhelming",+
7740,  these people would n't know subtle characterization if it put on a giant monster costume and then gave them a,-
7741,"  metaphors , but it is easy to take this film at face value and enjoy its slightly humorous and tender story",+
7742,"  the film 's sharp , often sense of humor will catch some off",+
7743,"  plays like a badly edited , minute trailer ( and ) the director ca n't seem to get a coherent rhythm going in fact , it does n't even seem like she tried",-
7744,"  somewhat , but kinnear 's performance is sharp",+
7745,"  a gentle , compassionate drama about grief and healing",+
7746,"  godard uses his characters if that 's not too glorified a term as art things , , visual , blanks",-
7747,"  though in exploring an attraction that crosses sexual identity , ozpetek falls short in showing us antonia 's true emotions but at the very least , his secret life will leave you thinking",+
7748,"  too stupid to be satire , too obviously to be classified otherwise , frank novak 's irritating slice of life is as soul killing as its title is nearly meaningless",-
7749,"  will give many and bible study groups hours of material to but mainstream audiences will find little of interest in this film , which is often preachy and poorly acted",-
7750,"  a burst of color , music , and dance that only the most could fail to crack a smile at",+
7751,"  awkward but sincere and , ultimately , it wins you over",+
7752,"  there 's tremendous energy from the cast , a sense of and excitement that seems appropriate",+
7753,"  efficient , chiller",+
7754,"  assured , glossy and shot through with desperation",+
7755,"  it 's sincere to a , but , unfortunately , not very compelling or much fun",-
7756,"  a distant , even , yet compulsively watchable look at the sordid life of 's heroes star bob crane",+
7757,  terminally brain dead production,-
7758,  ! 's really wrong with this !,-
7759,"  how can such a cold movie to express warmth and longing ? in truth , it has all the heart of a flick ( but none of the sheer lust )",-
7760,"  even in its most tedious scenes , russian ark is mesmerizing",+
7761,  you 'll end up moved,+
7762,  you should pay nine bucks for this because you can hear about suffering refugees on the news and still be dramas like this make it human,+
7763,"  just what makes us happy , anyway ?",+
7764,"  it is depressing , and depraved , the movie equivalent of staring into an open wound",-
7765,"  despite apparent to the , it ends up being , like seinfeld 's tv show , about pretty much nothing",-
7766,"  a tender , heartfelt family drama",+
7767,  a domestic melodrama with weak dialogue and biopic cliches,-
7768,  it 's lost the politics and the social observation and become just another situation romance about a couple of stuck in an inarticulate screenplay,-
7769,"  sometimes , memories should stay in the past a lesson this film all too well",-
7770,"  johnson has , in his first film , set himself a task he is not nearly up to",-
7771,"  a full world has been presented onscreen , not some series of carefully structured plot points building to a pat",+
7772,"  though lan yu lacks a sense of dramatic urgency , the film makes up for it with a pleasing",+
7773,"  one of the best silly horror movies of recent memory , with some real shocks in store for viewers",+
7774,"  a serious movie with serious ideas but seriously , folks , it does n't work",-
7775,  highly recommended as an engrossing story about a horrifying historical event and the elements which to it,+
7776,  a close to solid espionage thriller with the of being released a few decades too late,-
7777,"  there 's an audience for it , but it could have been funnier and more innocent",-
7778,"  as a director , paxton is surprisingly brilliant , deftly together what could have been a confusing and horrifying vision into an intense and engrossing head trip",+
7779,"  's cinematography may be lovely , but love liza 's tale itself virtually collapses into an , maintaining consciousness just long enough to achieve callow pretension",-
7780,  a filled crowd pleaser that open minded fans ( but by no means all ) will have fun with,+
7781,  sayles has an eye for the ways people of different talk to and about others outside the group,+
7782,"  home alone goes hollywood , a funny premise until the kids start pulling off stunts not even steven spielberg would know how to do besides , real movie producers are n't this nice",-
7783,  would surely have called this and at times exhilarating movie a great yarn,+
7784,"  for the most part , i spy was an amusing lark that will probably as one of murphy 's better performances in one of his lesser praised movies",-
7785,"  it 's obviously struck a chord with many south , and should work its magic in other parts of the world",+
7786,"  the stunning , visuals will even those viewers who have little patience for film pretension",+
7787,"  it 's an example of sophisticated , challenging filmmaking that stands , despite its lack of emotional heft , in welcome to the indulgent dead end experimentation of the director 's previous full frontal",+
7788,  a really funny fifteen minute short stretched beyond its limits to fill an almost feature length film,-
7789,"  you come away wishing , though , that the movie spent a lot less time trying to make a credible case for from the and a lot more time on the romantic urgency that 's at the center of the story",-
7790,  japan 's stylist of sex and blood hits audiences with what may be his most demented film to date,+
7791,"  there may have been a good film in trouble every day , but it is not what is on the screen",-
7792,"  holofcener solutions to life 's from inside out , in all its strange quirks",+
7793,"  provides the kind of ` laugh therapy ' i need from movie comedies offbeat humor , amusing characters , and a happy ending after seeing ` analyze that , ' i feel better already",+
7794,  you wo n't have any trouble getting kids to eat up these,+
7795,  slick piece of cross,-
7796,"  while men the story , the women shine",+
7797,"  in its dry and forceful way , it delivers the same message as 's closely watched and 's no man 's land",+
7798,"  an intelligent and deeply felt work about impossible , choices and the price of making them",+
7799,  it 's not so much a movie as a for the national basketball and rap and adolescent boy lil ' bow wow,-
7800,  condescension from every pore,-
7801,  there are some movies that hit you from the first scene and you know it 's going to be a trip igby goes down is one of those movies,+
7802,  ultimately engages less for its story of existential despair than for its and glimpse into another kind of chinese ` cultural revolution ',+
7803,  enduring love but exhausting cinema,-
7804,"  the film has a nearly case of the , and it 's neither as funny nor as charming as it thinks it is",-
7805,  the director explores all three sides of his story with a sensitivity and an reminiscent of,+
7806,  michael 's script is packed with telling scenes,+
7807,  this is n't even madonna 's swept away this is her blue,-
7808,"  while somewhat less than it might have been , the film is a good one , and you 've got to hand it to director george clooney for biting off such a big job the first time out",+
7809,  seldahl and wollter will touch you to the core in a film you will never forget that you should never forget,+
7810,"  while centered on the life experiences of a particular theatrical family , this marvelous documentary touches ever so on the entire history of the yiddish theater , both in america and",+
7811,"  this familiar rise and fall tale is long on glamour and short on larger consequences , though it 's told with sharp ears and eyes for the tenor of the times",+
7812,  another example of how sandler is losing his touch,-
7813,  knows how to make our imagination wonder,+
7814,"  a slick , well machine , exquisitely polished and",+
7815,"  just as moving , uplifting and funny as ever",+
7816,"  egoyan 's work often elegantly various levels of reality and uses shifting points of view , but here he has constructed a film so that it defeats his larger purpose",-
7817,"  the whole thing 's fairly lame , making it par for the course for disney sequels",-
7818,"  there 's a heavy of ` been there , done that ' hanging over the film it 's everything you 'd expect but nothing more",-
7819,"  a culture comedy that , in addition to being very funny , captures some of the discomfort and embarrassment of being a bumbling american in",+
7820,  adam sandler is to cooper what a is to a,-
7821,"  nijinsky says , ` i know how to suffer ' and if you see this film you 'll know too",-
7822,"  triumph of love is a very silly movie , but the silliness has a pedigree",+
7823,  merchant has n't directed this movie so much as produced it like,-
7824,  derivative and acted,-
7825,  the only element of suspense is whether the movie will change titles or again before the closing credits roll,-
7826,  just an average comedic but not a waste of time,-
7827,"  scotland , pa the line between black comedy and black hole",-
7828,  mark 's latest pop thriller is as and as it is spooky and subtly in love with,+
7829,"  the cast is painful to watch , so stilted and unconvincing are the performances",-
7830,"  it 's still adam sandler , and it 's not little and for many of us , that 's good enough",+
7831,"  who knows what exactly godard is on about in this film , but his words and images do n't have to add up to you",+
7832,"  i highly recommend irwin , but not in the way this film showcases him",-
7833,  the date movie that kafka would have made,+
7834,"  nelson 's brutally unsentimental approach sucks the humanity from the film , leaving behind an but weirdly spectacle",-
7835,"  it 's push the limits teen comedy , the type written by people who ca n't come up with funny , and it 's used so that good bits are hopelessly overshadowed",-
7836,"  children may not understand everything that happens i 'm not sure even miyazaki himself does but they will almost certainly be , and undoubtedly delighted",+
7837,"  it 's a lot to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and a manner as 's",-
7838,  wallace seems less like he 's been burning to tell a war story than he 's been to somehow one together,-
7839,"  mesmerizing , an eye opening tour of modern beijing culture in a journey of rebellion , into and return",+
7840,"  by the end of no such thing the audience , like , has a watchful affection for the monster",+
7841,"  a very well made , funny and entertaining picture",+
7842,  a family friendly fantasy that ends up doing very little with its imaginative premise,-
7843,"  lathan and diggs have considerable personal charm , and their screen makes the old story seem new",+
7844,  nothing more than a run of the mill action flick,-
7845,  while the plot follows a predictable connect the dots course director john colors the picture in some evocative,+
7846,  a haunting tale of murder and mayhem,+
7847,"  the film is about the relationships rather than about the outcome and it sees those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and",+
7848,"  strange it is , but delightfully so",+
7849,"  a sly game of cat and mouse that 's intense and thrilling at times , but occasionally stretches believability to its limits and relies on predictable plot contrivances",+
7850,  you do n't have to be an especially tough to give a b minus to the emperor 's club,+
7851,"  for history , and for the uncompromising knowledge that the highest power of all is the power of love",+
7852,"  written dialogue with flailing movements that substitute for acting , circuit is the awkwardly paced soap opera ish story",-
7853,  this movie is maddening it conveys a simple message in a visual style that is overwrought,-
7854,"  the of is an uneasy mix of sensual delights and violence , and the quiet american brings us right into the center of that world",+
7855,  the for days this just felt like it did,-
7856,  an enjoyably half wit remake of the italian comedy big deal on madonna street,+
7857,"  there is a certain sense of experimentation and to this film that may not always work , but it is nevertheless compelling",+
7858,  soderbergh the fat from the film what 's left is a rich of longing,+
7859,"  this is the sort of action flick where one coincidence another , narrative is a , and whatever passes for logic is a factor of the last plot device left standing",-
7860,"  a compelling pre wwii drama with vivid characters and a warm , moving message",+
7861,  it 's like going to a house party and watching the host himself against a you do n't want to call the cops you want to call 's,+
7862,  witless but watchable,+
7863,"  it 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism",-
7864,  the journey toward redemption feels more like a cinematic experiment than a full blown movie,-
7865,"  it 's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , in for bruce willis , is the perfect actor to take us on the trip",+
7866,"  a must see for the david mamet enthusiast and for anyone who intelligent , stylish moviemaking",+
7867,"  there is a fabric of complex ideas here , and feelings that profoundly them",+
7868,"  the lady and the duke is a smart , romantic drama that dares to the french revolution from the ' perspective",+
7869,"  the film reminds me of a vastly improved version of my big fat greek wedding with better characters , some genuine quirkiness and at least a measure of style the difference is that i truly enjoyed most of mostly martha while i",+
7870,"  the are beautiful , the border is funny and the overall feeling is genial and decent",+
7871,"  like being trapped inside a huge video game , where exciting , inane images keep popping past your head and the same things keep happening over and over again",-
7872,  there 's a reason why is only fifteen minutes long,-
7873,"  third time 's the charm , baby !",+
7874,"  a of promising ideas and failed narrative , of good acting and plain old bad filmmaking",-
7875,"  a vile , incoherent mess a of david 's brilliant ` '",-
7876,"  a sleep slow paced crime drama with clumsy dialogue , heavy handed feeling sentiment , and an overly familiar set of plot devices",-
7877,"  director tom a for action and idiosyncratic humor in his charming 2000 debut shanghai , but showtime 's uninspired send up of tv cop show cliches mostly leaves him shooting blanks",-
7878,  it 's a clever thriller with enough unexpected twists to keep our interest,+
7879,  there are enough throwaway references to faith and to smile button faces on that segment of the that made a walk to remember a niche hit,-
7880,"  succumbs to the same kind of maudlin , sentimental that mars the touched by an angel school of non god spiritual movies",-
7881,"  with , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's adult surprises",+
7882,"  pumpkin means to be an outrageous dark satire on life , but its ambitions far the abilities of writer adam and his co director , tony r , in their feature debut",-
7883,  tsai may be the same once too often,-
7884,"  very solid , very watchable first feature for director peter sheridan",+
7885,"  it 's a demented mess ( although the digital video does match the muddled narrative ) , but it 's savvy about celebrity and has more guts and energy than much of what will open this year",+
7886,  most folks with a real in the american sexual landscape will find it either moderately amusing or just plain irrelevant,-
7887,"  for the most part , the ingredients are there but an to explore beyond the of her characters prevents nettelbeck 's film from coming together",-
7888,"  thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods",+
7889,"  the tale of ( ) , a sleek on the of o ( ) , the most legendary of asian , is too scattershot to take hold",-
7890,"  despite its raucous intent , xxx is as conventional as a ad and as as spring break",-
7891,  the screenwriters dig themselves in deeper every time they toss logic and science into what is essentially a and dragons fantasy with modern military,+
7892,"  i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay",-
7893,"  like a tarantino movie with heart , betty is richly detailed , deftly executed and utterly absorbing",+
7894,  unfolds in a series of whose cumulative effect is chilling,+
7895,  a sub formulaic slap in the face to cheer,-
7896,  surprisingly inert for a movie in which the main character back and forth between,-
7897,  newton wanders through charlie completely she needs to show some presence and star quality,-
7898,  so lazy and it the mere of soft core imagery with naughty fun,-
7899,"  a thoughtful , moving piece that faces difficult issues with honesty and beauty",+
7900,"  first , for a movie that tries to be smart , it 's kinda dumb and second , what 's with all the shooting ?",-
7901,"  the best you can say about it is it 's so uninspired , it barely gives one pause when considering some of the other dreck out there right now",-
7902,"  a quirky hybrid of character portrait , romantic comedy and beat the thriller",+
7903,"  you can see the would be surprises coming a mile away , and the execution of these twists is delivered with a thumbs down",-
7904,"  a perfectly acceptable , perfectly bland , acted but by no means scary horror movie",-
7905,"  freaky friday , it 's not",-
